DATA;TEMPERATURA MAXIMA;PRECIPITACAO
22/06/2019;20.71;0
23/06/2019;21.65;0
24/06/2019;22.17;0
25/06/2019;22.91;0
26/06/2019;13.13;1
27/06/2019;18.62;1
28/06/2019;22.55;1
29/06/2019;24.65;0
30/06/2019;21.73;0
01/07/2019;18.34;1
02/07/2019;15.11;1
03/07/2019;14.72;1
04/07/2019;12.63;0
05/07/2019;8.59;0
06/07/2019;8.63;0
07/07/2019;12.71;0
08/07/2019;17.1;0
09/07/2019;18.97;0
10/07/2019;20.3;0
11/07/2019;22.34;0
12/07/2019;22.43;0
13/07/2019;22.9;0
14/07/2019;20.57;0
15/07/2019;14.18;1
16/07/2019;12.11;1
17/07/2019;14.65;0
18/07/2019;17.22;0
19/07/2019;16.45;1
20/07/2019;21.2;0
21/07/2019;20.09;0
22/07/2019;23.23;1
23/07/2019;21.3;0
24/07/2019;21.54;0
25/07/2019;21;1
26/07/2019;18.99;0
27/07/2019;15.49;0
28/07/2019;19.13;0
29/07/2019;18.12;0
30/07/2019;19.42;1
31/07/2019;21.61;1
01/08/2019;24.26;0
02/08/2019;11.76;0
03/08/2019;11.62;1
04/08/2019;13.32;0
05/08/2019;15.77;0
06/08/2019;21.25;0
07/08/2019;24.08;0
08/08/2019;24.24;1
09/08/2019;23.99;0
10/08/2019;21.68;1
11/08/2019;23.04;1
12/08/2019;24.89;0
13/08/2019;15.88;1
14/08/2019;13.72;0
15/08/2019;18.74;0
16/08/2019;24.27;0
17/08/2019;24.84;0
18/08/2019;21.44;1
19/08/2019;16.29;1
20/08/2019;13.97;1
21/08/2019;16.88;0
22/08/2019;18.35;0
23/08/2019;13.57;1
24/08/2019;17.36;0
25/08/2019;19.63;0
26/08/2019;21.2;0
27/08/2019;19.92;1
28/08/2019;22.59;0
29/08/2019;25.7;0
30/08/2019;27.86;0
31/08/2019;23.33;1
01/09/2019;14.49;1
02/09/2019;18.24;1
03/09/2019;19.02;0
04/09/2019;16.72;0
05/09/2019;13.78;1
06/09/2019;16.05;1
07/09/2019;22.94;1
08/09/2019;28.52;1
09/09/2019;30.01;1
10/09/2019;28.54;0
11/09/2019;25.85;0
12/09/2019;23.81;0
13/09/2019;18.31;1
14/09/2019;21.27;0
15/09/2019;29.83;0
16/09/2019;30.07;0
17/09/2019;26.86;0
18/09/2019;19.67;1
19/09/2019;20.5;1
20/09/2019;17.83;1
21/09/2019;18.87;1
22/09/2019;18.49;0
23/09/2019;18.04;0
24/09/2019;20.73;0
25/09/2019;21.46;1
26/09/2019;22.99;1
27/09/2019;21.74;0
28/09/2019;23.78;0
29/09/2019;26.66;0
30/09/2019;26.94;0
01/10/2019;30.46;0
02/10/2019;29.63;0
03/10/2019;21.23;1
04/10/2019;22.42;1
05/10/2019;23.09;1
06/10/2019;16.61;1
07/10/2019;20.6;1
08/10/2019;22.81;0
09/10/2019;26.02;1
10/10/2019;27.9;0
11/10/2019;29.71;0
12/10/2019;31.58;0
13/10/2019;32.69;0
14/10/2019;23.67;1
15/10/2019;18.95;1
16/10/2019;18.31;1
17/10/2019;26.82;0
