DATA;ANO;MES;DIA;DIA-SEMANA;HORA; QTDE CURSOS PRESENCIAIS NA ULTIMA HORA;FERIADO/RECESSO;FERIAS;COVID
28/08/2018 21:00;2018;8;28;1;21;10;0;0;0
28/08/2018 22:00;2018;8;28;1;22;10;0;0;0
28/08/2018 23:00;2018;8;28;1;23;10;0;0;0
29/08/2018 00:00;2018;8;29;2;0;0;0;0;0
29/08/2018 01:00;2018;8;29;2;1;0;0;0;0
29/08/2018 02:00;2018;8;29;2;2;0;0;0;0
29/08/2018 03:00;2018;8;29;2;3;0;0;0;0
29/08/2018 04:00;2018;8;29;2;4;0;0;0;0
29/08/2018 05:00;2018;8;29;2;5;0;0;0;0
29/08/2018 06:00;2018;8;29;2;6;0;0;0;0
29/08/2018 07:00;2018;8;29;2;7;0;0;0;0
29/08/2018 08:00;2018;8;29;2;8;0;0;0;0
29/08/2018 09:00;2018;8;29;2;9;5;0;0;0
29/08/2018 10:00;2018;8;29;2;10;5;0;0;0
29/08/2018 11:00;2018;8;29;2;11;5;0;0;0
29/08/2018 12:00;2018;8;29;2;12;5;0;0;0
29/08/2018 13:00;2018;8;29;2;13;0;0;0;0
29/08/2018 14:00;2018;8;29;2;14;5;0;0;0
29/08/2018 15:00;2018;8;29;2;15;5;0;0;0
29/08/2018 16:00;2018;8;29;2;16;5;0;0;0
29/08/2018 17:00;2018;8;29;2;17;5;0;0;0
29/08/2018 18:00;2018;8;29;2;18;0;0;0;0
29/08/2018 19:00;2018;8;29;2;19;0;0;0;0
29/08/2018 20:00;2018;8;29;2;20;10;0;0;0
29/08/2018 21:00;2018;8;29;2;21;10;0;0;0
29/08/2018 22:00;2018;8;29;2;22;10;0;0;0
29/08/2018 23:00;2018;8;29;2;23;10;0;0;0
30/08/2018 00:00;2018;8;30;3;0;0;0;0;0
30/08/2018 01:00;2018;8;30;3;1;0;0;0;0
30/08/2018 02:00;2018;8;30;3;2;0;0;0;0
30/08/2018 03:00;2018;8;30;3;3;0;0;0;0
30/08/2018 04:00;2018;8;30;3;4;0;0;0;0
30/08/2018 05:00;2018;8;30;3;5;0;0;0;0
30/08/2018 06:00;2018;8;30;3;6;0;0;0;0
30/08/2018 07:00;2018;8;30;3;7;0;0;0;0
30/08/2018 08:00;2018;8;30;3;8;0;0;0;0
30/08/2018 09:00;2018;8;30;3;9;5;0;0;0
